,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Segmentation
2271,459824,Male,No,38,Yes,Entertainment,8.0,Low,1,4
6273,467623,Male,Yes,76,Yes,Lawyer,1.0,High,2,1
389,462404,Female,No,26,Yes,Artist,9.0,Low,1,1
4015,466696,Female,Yes,48,Yes,Artist,2.0,Average,4,3
392,463717,Female,Yes,70,Yes,Artist,1.0,Average,4,3
2325,462759,Male,No,22,No,Healthcare,7.0,Low,5,4
7921,464718,Male,No,25,No,Healthcare,0.0,Low,2,2
4455,467163,Male,No,32,No,Healthcare,9.0,Low,3,4
6179,464957,Female,Yes,87,No,Lawyer,0.0,Low,1,1
520,460107,Male,Yes,51,Yes,Engineer,1.0,Average,5,3
1897,460955,Male,No,19,No,Healthcare,0.0,Low,5,4
2967,464511,Male,Yes,52,Yes,Marketing,1.0,Low,3,4
6185,463355,Female,Yes,51,Yes,Artist,6.0,Average,3,3
2365,464480,Male,Yes,42,Yes,Artist,1.0,Average,3,3
1747,461232,Female,Yes,36,Yes,Executive,0.0,High,2,1
7828,460319,Female,Yes,40,No,Doctor,2.0,Average,2,4
1006,465712,Male,No,47,Yes,Lawyer,0.0,Low,1,2
5486,467405,Female,No,37,Yes,Artist,1.0,Low,1,3
7459,465596,Male,Yes,36,Yes,Healthcare,8.0,High,2,2
7551,466565,Male,Yes,29,No,Artist,6.0,Average,2,2
1572,467684,Male,No,40,Yes,Healthcare,8.0,Low,3,4
770,462540,Male,Yes,32,Yes,Entertainment,6.0,Low,2,2
5229,463339,Female,Yes,27,Yes,Engineer,4.0,Low,2,2
4614,463768,Female,Yes,38,No,Engineer,1.0,Low,1,1
6490,461960,Male,Yes,57,Yes,Entertainment,0.0,Low,2,1
5269,462316,Male,Yes,60,Yes,Artist,1.0,Average,3,3
518,464096,Female,No,31,No,Healthcare,1.0,Low,5,3
1182,465235,Male,Yes,46,Yes,Healthcare,1.0,High,3,3
1278,462700,Male,Yes,38,Yes,Artist,0.0,Average,4,2
5868,463673,Male,No,33,Yes,Healthcare,0.0,Low,5,2
1778,464909,Female,Yes,38,Yes,Homemaker,0.0,Low,2,1
254,462318,Female,Yes,82,No,Lawyer,0.0,Average,2,1
1246,467321,Female,Yes,63,Yes,Artist,9.0,Low,2,3
244,461550,Male,Yes,37,Yes,Entertainment,7.0,Low,2,1
1191,462358,Male,Yes,37,No,Doctor,4.0,Average,2,1
584,459873,Male,Yes,55,Yes,Artist,3.0,Average,3,1
6704,464348,Male,No,43,Yes,Artist,1.0,Low,2,1
7190,467091,Female,No,42,Yes,Entertainment,1.0,Low,3,4
6076,466913,Male,Yes,65,Yes,Lawyer,0.0,Low,1,1
4579,460777,Male,Yes,74,No,Lawyer,0.0,Low,1,4
172,459420,Female,Yes,70,Yes,Lawyer,0.0,Low,2,2
5745,463110,Male,Yes,68,No,Executive,1.0,High,2,1
4046,463220,Male,Yes,46,No,Engineer,0.0,Average,3,2
583,462828,Male,No,25,No,Marketing,3.0,Low,3,4
7518,459446,Male,Yes,36,No,Entertainment,1.0,Average,3,3
3485,460346,Female,Yes,40,Yes,Artist,12.0,Average,2,3
5766,463542,Female,Yes,27,No,Artist,6.0,High,5,1
3322,459463,Female,Yes,62,Yes,Artist,0.0,Average,3,3
7958,462891,Male,No,27,No,Healthcare,1.0,Low,3,3
4886,466633,Male,Yes,39,Yes,Entertainment,6.0,Average,2,3
2237,462050,Male,No,19,No,Healthcare,4.0,Low,3,4
7729,462062,Male,No,22,No,Healthcare,0.0,Low,3,4
2341,460860,Male,Yes,52,Yes,Artist,7.0,Average,4,2
5979,467277,Male,No,25,Yes,Artist,13.0,Low,3,1
7406,459137,Male,Yes,42,Yes,Artist,7.0,Average,2,3
579,463006,Female,No,41,Yes,Marketing,1.0,Low,1,4
8019,467036,Male,Yes,66,No,Lawyer,0.0,Low,1,2
688,466213,Male,No,23,No,Healthcare,4.0,Low,5,4
4141,463690,Female,No,28,No,Healthcare,7.0,Low,4,4
255,466078,Female,Yes,51,No,Executive,0.0,Low,1,1
4857,462930,Female,Yes,55,Yes,Homemaker,13.0,Average,3,2
5384,465700,Male,Yes,25,Yes,Entertainment,1.0,High,2,4
1361,460507,Male,No,30,No,Doctor,1.0,Low,4,4
2370,460652,Female,No,31,No,Homemaker,8.0,Low,1,4
2839,460876,Female,Yes,43,Yes,Artist,1.0,High,4,3
979,461382,Male,Yes,68,No,Executive,1.0,High,2,2
4475,463866,Male,Yes,40,Yes,Artist,1.0,Average,4,3
7776,462054,Male,No,25,Yes,Healthcare,0.0,Low,2,4
1743,462994,Female,Yes,39,No,Artist,1.0,Average,3,2
4029,459432,Male,Yes,84,Yes,Lawyer,0.0,Low,3,1
1468,467422,Female,Yes,58,Yes,Artist,0.0,Average,2,3
3148,464976,Male,Yes,75,No,Lawyer,1.0,Low,1,4
6613,459250,Male,Yes,50,Yes,Doctor,1.0,Average,4,3
5613,461384,Male,Yes,71,Yes,Lawyer,2.0,High,2,1
3880,467257,Male,No,22,No,Healthcare,10.0,Low,4,4
3229,464188,Female,No,33,No,Doctor,1.0,Low,3,4
4972,467769,Female,No,35,Yes,Doctor,1.0,Low,1,2
1695,464452,Female,No,72,Yes,Lawyer,0.0,Low,1,3
5813,462764,Male,No,18,No,Healthcare,14.0,Low,4,4
2737,467501,Male,No,48,Yes,Entertainment,1.0,Low,2,4
5774,463336,Female,Yes,62,No,Engineer,4.0,Low,1,2
8006,459399,Female,No,20,No,Doctor,1.0,Low,2,4
7130,464594,Male,Yes,46,Yes,Artist,1.0,Low,1,4
1342,459810,Male,No,19,No,Healthcare,1.0,Low,4,4
5001,463237,Male,No,20,No,Healthcare,1.0,Low,5,4
1462,466256,Female,Yes,65,Yes,Engineer,1.0,Low,1,2
7398,461890,Female,Yes,45,Yes,Artist,0.0,Average,2,3
6538,461257,Male,Yes,41,Yes,Engineer,1.0,Average,2,3
237,459756,Female,Yes,56,No,Lawyer,1.0,High,4,2
6447,464499,Male,Yes,43,Yes,Executive,1.0,High,4,2
2868,463076,Female,No,51,Yes,Artist,0.0,Low,2,3
3683,464269,Male,No,37,Yes,Entertainment,0.0,Low,2,1
1311,466536,Male,No,20,No,Healthcare,4.0,Low,4,4
6220,462884,Female,Yes,55,No,Artist,1.0,Low,2,2
7849,462294,Male,Yes,30,No,Healthcare,1.0,Average,4,4
1483,459175,Female,Yes,70,Yes,Artist,1.0,Average,2,3
1039,461983,Male,No,27,Yes,Artist,1.0,Low,3,2
6514,466568,Female,Yes,35,Yes,Artist,8.0,Average,2,2
7688,466888,Male,Yes,50,Yes,Entertainment,1.0,Low,1,1
2857,460896,Male,No,43,Yes,Artist,0.0,Low,1,1
5259,463892,Male,No,38,Yes,Artist,9.0,Low,1,1
792,460908,Male,No,20,No,Healthcare,7.0,Low,3,4
6890,467583,Male,Yes,47,Yes,Executive,9.0,Low,2,2
5569,464201,Female,No,30,No,Healthcare,0.0,Low,9,3
1915,465408,Male,No,30,No,Executive,1.0,Low,4,4
2858,460702,Female,No,51,Yes,Artist,0.0,Low,1,2
3759,459787,Male,Yes,71,No,Lawyer,0.0,Low,1,1
2430,466751,Female,No,20,No,Healthcare,1.0,Low,4,4
6458,463253,Female,Yes,61,Yes,Doctor,0.0,Average,4,2
1751,462719,Female,Yes,55,Yes,Artist,0.0,High,5,2
2281,459408,Male,No,28,No,Doctor,0.0,Low,1,4
5939,462433,Female,Yes,33,Yes,Doctor,0.0,Average,2,2
4098,461979,Male,Yes,35,Yes,Artist,9.0,Average,2,3
2120,465950,Female,Yes,52,Yes,Artist,6.0,Low,2,1
6870,465772,Female,Yes,53,Yes,Engineer,0.0,Low,4,2
647,463909,Female,No,25,Yes,Healthcare,1.0,Low,3,2
5082,464573,Female,Yes,39,Yes,Artist,7.0,Average,3,2
8041,463613,Female,Yes,48,Yes,Artist,0.0,Average,6,1
525,467320,Female,No,21,No,Healthcare,0.0,Low,4,4
6822,463379,Male,No,29,No,Marketing,1.0,Low,7,4
5780,463295,Male,No,28,No,Entertainment,0.0,Low,3,1
652,465289,Male,Yes,25,Yes,Executive,1.0,High,2,1
1134,459563,Male,Yes,72,Yes,Entertainment,7.0,Low,2,1
5856,459584,Female,No,20,No,Healthcare,1.0,Low,3,4
156,465662,Male,Yes,76,No,Executive,1.0,Low,1,3
1679,465092,Male,Yes,65,Yes,Executive,0.0,High,2,3
4342,465380,Male,No,25,No,Entertainment,5.0,Low,2,4
3425,467581,Female,Yes,33,Yes,Engineer,2.0,Average,2,4
3436,462112,Male,Yes,78,Yes,Lawyer,1.0,Low,1,4
3817,463014,Male,Yes,53,Yes,Executive,0.0,High,3,2
5947,464165,Female,No,55,No,Entertainment,3.0,Low,1,1
5794,465966,Male,No,36,Yes,Doctor,9.0,Low,1,2
7947,462118,Male,No,30,Yes,Artist,1.0,Low,3,3
6388,467393,Female,Yes,46,Yes,Artist,0.0,Average,4,3
7864,465440,Male,Yes,62,No,Engineer,1.0,Low,5,4
758,461486,Male,Yes,59,No,Entertainment,8.0,Average,3,3
5072,459070,Female,Yes,66,No,Lawyer,0.0,Low,1,1
5475,463221,Male,No,22,No,Healthcare,0.0,Low,3,4
2823,462464,Male,Yes,53,Yes,Artist,1.0,Average,4,3
7874,462207,Male,No,26,No,Doctor,0.0,Low,6,4
3856,461571,Male,No,27,No,Healthcare,1.0,Low,4,3
2793,462760,Male,No,22,No,Healthcare,1.0,Low,5,4
224,461825,Female,No,56,No,Engineer,8.0,Low,1,1
5214,460386,Male,Yes,29,Yes,Healthcare,0.0,Low,2,4
6279,464405,Male,No,62,Yes,Entertainment,1.0,Low,1,4
2491,465845,Female,Yes,40,Yes,Entertainment,2.0,Low,2,2
5825,460362,Male,Yes,59,Yes,Healthcare,0.0,Low,3,4
1023,461728,Female,No,55,Yes,Entertainment,1.0,Low,1,1
2502,464456,Male,Yes,27,Yes,Artist,1.0,Low,4,3
545,466338,Female,No,39,No,Engineer,0.0,Low,3,1
6243,460621,Male,Yes,77,Yes,Lawyer,0.0,Low,2,3
7733,464167,Male,Yes,53,Yes,Executive,4.0,High,3,3
5159,467125,Male,Yes,46,No,Entertainment,1.0,Average,4,3
6411,466780,Female,No,36,Yes,Artist,11.0,Low,2,1
4778,460005,Male,No,43,Yes,Engineer,0.0,Low,1,1
4090,463463,Male,Yes,32,No,Doctor,0.0,Low,2,1
2859,466001,Female,Yes,36,Yes,Entertainment,6.0,Low,2,2
2122,466222,Male,Yes,51,No,Executive,5.0,Low,3,3
169,464702,Male,Yes,59,No,Artist,2.0,Average,2,3
6880,464886,Male,Yes,38,Yes,Engineer,0.0,Average,4,2
5199,467285,Male,Yes,53,No,Executive,0.0,High,4,2
225,467271,Male,Yes,45,Yes,Artist,4.0,Average,4,2
6972,464781,Male,No,32,No,Marketing,0.0,Low,3,4
7995,461489,Female,Yes,70,Yes,Lawyer,1.0,High,2,3
916,465225,Male,No,48,Yes,Engineer,0.0,Low,1,1
4773,466019,Female,Yes,63,Yes,Artist,5.0,Low,1,3
1675,461248,Female,No,37,No,Healthcare,1.0,Low,1,4
5905,463778,Female,No,27,No,Engineer,1.0,Low,4,1
5015,465544,Female,No,51,Yes,Artist,0.0,Low,1,1
2203,465761,Female,No,42,Yes,Artist,12.0,Low,2,1
7075,467747,Female,Yes,50,Yes,Artist,0.0,High,4,3
3871,464522,Female,No,42,Yes,Engineer,11.0,Low,1,4
7996,466778,Male,Yes,37,Yes,Entertainment,1.0,Low,2,1
7538,462788,Male,Yes,48,No,Entertainment,1.0,Average,3,3
995,467031,Male,Yes,59,Yes,Artist,11.0,Average,3,3
3016,459896,Female,Yes,40,Yes,Artist,9.0,Low,2,3
1669,461337,Male,Yes,50,Yes,Executive,1.0,High,3,3
3467,462178,Female,Yes,73,Yes,Lawyer,7.0,Low,2,1
3382,467832,Female,No,20,No,Healthcare,4.0,Low,3,4
2987,465814,Female,Yes,50,No,Artist,0.0,Average,5,2
1373,460511,Female,No,31,No,Doctor,0.0,Low,4,4
1596,466039,Female,No,29,No,Entertainment,0.0,Low,1,1
5656,464331,Female,No,53,Yes,Engineer,0.0,Low,1,4
5114,461547,Male,No,70,No,Entertainment,0.0,Low,1,2
5163,460052,Female,No,81,Yes,Lawyer,1.0,Low,1,2
870,465253,Male,No,21,No,Healthcare,1.0,Low,3,4
7006,467266,Female,No,32,No,Healthcare,0.0,Low,4,3
7095,460155,Female,Yes,53,Yes,Artist,2.0,High,2,3
6858,467158,Female,No,25,No,Healthcare,0.0,Low,2,4
5889,465080,Male,Yes,70,Yes,Lawyer,8.0,Average,2,3
3196,460816,Female,Yes,49,No,Homemaker,11.0,Low,2,1
6439,467965,Female,No,37,Yes,Healthcare,1.0,Low,2,1
1948,459394,Male,No,28,No,Entertainment,9.0,Low,2,1
6287,463475,Female,Yes,36,Yes,Doctor,0.0,Low,1,2
6139,462623,Male,No,35,No,Healthcare,8.0,Low,1,4
6240,464003,Male,No,22,No,Healthcare,0.0,Low,4,4
2200,459450,Male,Yes,55,Yes,Artist,4.0,Average,4,1
5580,461779,Female,Yes,83,Yes,Lawyer,1.0,High,2,2
4153,467724,Male,Yes,46,No,Artist,1.0,High,3,2
6350,460398,Female,No,39,Yes,Entertainment,7.0,Low,1,1
6020,459760,Female,Yes,42,Yes,Artist,8.0,Low,1,1
2307,461842,Male,Yes,63,Yes,Artist,1.0,Average,3,3
7449,460614,Male,Yes,38,Yes,Entertainment,1.0,Average,4,3
174,458987,Female,Yes,72,Yes,Lawyer,0.0,High,2,3
2275,459422,Male,Yes,50,Yes,Entertainment,0.0,Low,4,1
2048,459595,Female,Yes,36,Yes,Artist,4.0,High,7,3
708,466376,Female,Yes,53,No,Homemaker,2.0,High,3,2
2875,459727,Male,Yes,83,No,Lawyer,0.0,High,2,2
4044,459753,Male,Yes,40,Yes,Marketing,8.0,Average,2,1
5200,467128,Female,No,32,No,Homemaker,1.0,Low,1,1
6905,466714,Male,Yes,66,Yes,Executive,0.0,Average,2,3
2915,463363,Male,No,20,No,Healthcare,1.0,Low,4,4
2191,460260,Male,No,20,No,Healthcare,0.0,Low,3,4
653,466718,Male,Yes,66,Yes,Executive,0.0,High,2,2
3499,460700,Male,Yes,56,Yes,Entertainment,1.0,Average,3,2
963,462726,Female,Yes,75,Yes,Homemaker,1.0,High,2,2
6493,459268,Female,No,33,No,Homemaker,7.0,Low,2,4
3061,460906,Female,Yes,89,Yes,Lawyer,1.0,High,3,1
3104,463572,Male,Yes,35,Yes,Artist,1.0,Average,4,3
6051,462441,Female,No,22,No,Healthcare,0.0,Low,4,4
6071,459819,Male,Yes,71,Yes,Entertainment,0.0,High,2,2
5090,465883,Male,Yes,33,No,Artist,0.0,Low,4,1
4004,465333,Female,Yes,37,Yes,Artist,2.0,Low,2,3
1372,462321,Female,No,42,Yes,Engineer,6.0,Low,1,1
6942,460373,Male,No,20,No,Healthcare,2.0,Low,3,4
5961,467927,Male,No,31,Yes,Doctor,8.0,Low,6,1
7892,460856,Male,Yes,42,Yes,Artist,0.0,Average,3,3
651,465638,Female,Yes,51,Yes,Artist,0.0,Low,2,3
2635,466143,Female,Yes,48,No,Engineer,0.0,Average,5,3
3983,466750,Female,No,18,Yes,Healthcare,0.0,Low,3,4
3868,460165,Female,No,40,Yes,Entertainment,0.0,Low,1,1
3426,463669,Female,Yes,31,Yes,Marketing,7.0,High,4,1
1863,466848,Female,Yes,65,Yes,Artist,1.0,Low,2,2
3833,467715,Male,Yes,51,Yes,Executive,4.0,High,3,3
1890,464713,Female,Yes,71,Yes,Artist,0.0,High,4,2
3801,463502,Male,Yes,40,Yes,Executive,1.0,High,4,1
5494,460943,Male,Yes,50,Yes,Entertainment,1.0,Average,4,2
1869,467848,Male,No,37,Yes,Artist,12.0,Low,1,2
7176,467804,Female,Yes,43,Yes,Artist,1.0,Average,2,3
2025,464872,Male,Yes,42,Yes,Artist,1.0,Low,4,2
7049,462513,Male,No,26,Yes,Artist,0.0,Low,4,1
2161,463879,Male,Yes,45,Yes,Executive,0.0,High,2,3
576,465163,Male,Yes,46,Yes,Artist,11.0,Average,5,3
2640,461681,Male,No,31,Yes,Healthcare,9.0,Low,3,4
1300,467636,Male,Yes,45,Yes,Doctor,1.0,Average,2,3
4575,467391,Male,Yes,84,Yes,Lawyer,1.0,Low,1,3
986,463583,Male,Yes,58,Yes,Artist,9.0,Average,4,3
7531,459579,Female,Yes,40,Yes,Artist,4.0,Average,5,2
3537,459721,Male,Yes,76,Yes,Lawyer,0.0,Low,2,1
3351,461589,Male,Yes,41,Yes,Artist,1.0,Average,2,2
2043,464278,Male,Yes,85,Yes,Executive,1.0,High,2,4
6134,463617,Male,No,29,No,Marketing,1.0,Low,2,4
4349,462525,Female,Yes,41,Yes,Artist,0.0,Average,2,3
4117,461482,Female,No,52,Yes,Artist,9.0,Low,1,3
648,466099,Female,Yes,73,Yes,Lawyer,1.0,Low,1,2
765,461233,Male,Yes,37,Yes,Entertainment,0.0,Low,2,4
5993,465985,Male,No,31,Yes,Artist,1.0,Low,3,4
6689,462957,Male,Yes,58,No,Executive,1.0,High,5,2
7633,460541,Female,Yes,36,Yes,Homemaker,1.0,Average,3,4
6786,462749,Male,Yes,49,Yes,Artist,1.0,Low,2,3
1888,460250,Male,No,27,Yes,Healthcare,8.0,Low,4,4
2651,459957,Female,Yes,32,Yes,Artist,8.0,Low,3,1
3580,462631,Female,Yes,35,No,Engineer,2.0,High,4,4
4207,466379,Female,Yes,58,Yes,Homemaker,2.0,Low,1,3
258,459375,Male,Yes,18,No,Executive,0.0,High,4,1
1571,460978,Female,No,35,Yes,Healthcare,3.0,Low,6,4
1213,461649,Female,Yes,51,Yes,Artist,3.0,Low,4,2
3223,459200,Female,Yes,39,Yes,Artist,2.0,Average,4,3
3355,463587,Female,No,27,No,Engineer,1.0,Low,4,4
4055,467295,Male,No,29,No,Healthcare,0.0,Low,3,3
6924,462794,Male,No,27,No,Healthcare,10.0,Low,5,4
2973,460587,Female,No,38,Yes,Artist,0.0,Low,1,2
4317,467562,Male,Yes,71,Yes,Executive,0.0,High,3,1
952,460828,Male,No,51,No,Entertainment,1.0,Low,1,1
1952,463632,Male,Yes,30,Yes,Artist,0.0,Average,2,3
969,466827,Male,Yes,37,No,Entertainment,0.0,Average,4,4
7132,464369,Male,Yes,36,Yes,Executive,1.0,High,4,2
6784,464437,Female,Yes,48,Yes,Engineer,0.0,Average,4,2
1991,467926,Male,Yes,79,Yes,Artist,0.0,High,2,3
2499,459303,Male,Yes,55,Yes,Artist,0.0,Low,1,2
354,460032,Male,No,36,Yes,Engineer,8.0,Low,1,1
6191,461056,Female,Yes,57,Yes,Artist,0.0,High,3,3
3761,460560,Female,Yes,57,Yes,Homemaker,9.0,Average,2,3
5920,465182,Female,No,65,Yes,Lawyer,0.0,Low,1,1
2780,463653,Female,No,26,Yes,Artist,1.0,Low,5,1
7687,463944,Male,No,29,No,Artist,0.0,Low,5,1
7200,460975,Male,Yes,86,Yes,Lawyer,1.0,High,2,2
7997,465621,Male,No,42,Yes,Doctor,8.0,Low,1,3
2722,464131,Female,Yes,81,No,Engineer,0.0,High,2,2
6628,466061,Female,No,41,Yes,Lawyer,2.0,Low,1,1
5030,467067,Female,No,32,No,Healthcare,0.0,Low,4,3
191,459395,Male,Yes,42,No,Executive,8.0,Low,2,4
7609,460190,Female,No,30,Yes,Entertainment,9.0,Low,3,4
6290,460184,Male,No,27,No,Doctor,9.0,Low,4,4
6352,459725,Female,Yes,35,Yes,Artist,1.0,Low,2,2
1921,463712,Female,Yes,37,Yes,Doctor,1.0,Average,2,3
6429,462126,Male,Yes,20,No,Healthcare,1.0,Average,4,4
7541,461433,Male,Yes,70,Yes,Doctor,1.0,High,3,3
5413,463109,Male,Yes,61,Yes,Executive,9.0,High,2,3
2671,459864,Female,Yes,70,No,Artist,1.0,High,2,1
5625,459296,Male,Yes,70,Yes,Artist,1.0,Average,2,3
1687,466283,Female,Yes,62,Yes,Artist,0.0,High,2,2
4901,467612,Male,Yes,67,Yes,Executive,1.0,Low,2,2
1003,467410,Female,Yes,62,Yes,Lawyer,0.0,Low,2,3
4473,464097,Male,Yes,35,Yes,Doctor,5.0,High,2,4
1068,463053,Female,Yes,68,Yes,Artist,1.0,Average,2,3
2601,459820,Female,Yes,73,Yes,Artist,0.0,Average,3,3
4867,464473,Female,Yes,60,Yes,Artist,0.0,Average,4,3
1970,466942,Female,No,29,Yes,Healthcare,1.0,Low,4,4
1199,465499,Male,No,63,Yes,Artist,0.0,Low,1,1
957,462666,Male,Yes,48,Yes,Artist,0.0,Low,2,3
6637,464850,Female,Yes,51,No,Artist,3.0,Average,3,2
7486,467748,Male,Yes,38,Yes,Executive,3.0,High,4,3
2785,465533,Female,Yes,50,Yes,Entertainment,0.0,Average,4,2
6280,459189,Male,No,26,No,Healthcare,1.0,Low,6,3
7374,460930,Male,No,26,Yes,Artist,10.0,Low,5,4
6749,461053,Male,Yes,39,No,Executive,0.0,High,4,4
2960,464385,Male,Yes,70,No,Engineer,0.0,Average,2,2
2910,465331,Female,Yes,56,Yes,Artist,0.0,Low,2,3
1103,466898,Male,Yes,45,Yes,Executive,0.0,High,4,2
6168,467326,Female,No,47,Yes,Artist,0.0,Low,1,3
3754,462765,Female,Yes,50,Yes,Artist,1.0,High,8,2
3688,462133,Female,Yes,46,Yes,Doctor,9.0,High,3,1
637,466902,Male,Yes,50,Yes,Doctor,0.0,Average,3,3
2947,460874,Female,No,18,No,Healthcare,1.0,Low,3,4
7749,466989,Female,Yes,40,Yes,Artist,9.0,Average,2,2
1616,462775,Female,No,18,No,Healthcare,7.0,Low,3,4
2310,462400,Male,No,47,Yes,Artist,0.0,Low,1,2
5701,460085,Female,No,37,Yes,Marketing,0.0,Low,1,4
571,459298,Male,Yes,45,Yes,Artist,4.0,Average,4,3
6047,464895,Male,No,19,No,Doctor,1.0,Low,5,3
7205,461701,Male,Yes,40,No,Artist,1.0,Average,2,3
426,467941,Female,No,27,Yes,Doctor,1.0,Low,3,1
1987,464400,Male,No,31,Yes,Entertainment,0.0,Low,4,4
4916,464588,Female,Yes,35,Yes,Artist,0.0,Low,2,2
7037,462637,Female,Yes,58,No,Marketing,9.0,Average,6,4
6463,463431,Male,Yes,43,Yes,Artist,2.0,Average,4,2
2355,459405,Female,Yes,81,No,Doctor,0.0,High,2,1
3136,466465,Male,Yes,43,Yes,Engineer,5.0,High,2,1
3539,467618,Male,No,26,No,Doctor,6.0,Low,2,4
2676,459872,Male,Yes,68,No,Entertainment,4.0,Average,2,1
1884,464671,Male,No,30,No,Entertainment,1.0,Low,2,4
6629,465960,Female,No,32,Yes,Marketing,8.0,Low,1,4
664,459414,Female,No,39,Yes,Artist,8.0,Low,2,3
154,466590,Female,No,27,Yes,Healthcare,0.0,Low,4,3
2657,463377,Female,Yes,32,Yes,Homemaker,4.0,High,2,2
4573,462165,Male,Yes,70,Yes,Lawyer,3.0,High,2,4
4018,461354,Female,No,63,No,Entertainment,0.0,Low,1,2
7555,462192,Female,No,23,No,Healthcare,0.0,Low,6,4
3704,460665,Male,No,29,No,Entertainment,5.0,Low,1,4
144,465395,Female,Yes,43,No,Engineer,0.0,Average,5,2
4967,463293,Female,No,20,No,Healthcare,1.0,Low,3,4
7494,466662,Female,No,30,No,Engineer,1.0,Low,1,1
907,464500,Female,No,39,Yes,Artist,1.0,Low,3,2
7003,465754,Female,Yes,57,Yes,Artist,0.0,Average,4,3
6518,466509,Male,Yes,56,No,Executive,1.0,Average,3,2
7580,461330,Male,Yes,60,No,Executive,0.0,High,2,3
3249,465514,Male,No,27,Yes,Entertainment,1.0,Low,5,4
7165,465186,Female,Yes,38,No,Artist,4.0,Average,4,3
6452,460649,Female,No,29,No,Homemaker,8.0,Low,1,4
2261,459294,Male,No,23,No,Healthcare,9.0,Low,4,4
220,467515,Male,Yes,28,Yes,Engineer,0.0,Average,2,1
3612,463248,Female,Yes,26,No,Homemaker,8.0,Average,4,4
875,462988,Female,Yes,27,Yes,Healthcare,9.0,High,2,4
5607,465524,Female,No,51,Yes,Artist,8.0,Low,1,3
107,460764,Male,No,86,No,Lawyer,1.0,Low,1,4
7328,462342,Female,Yes,71,Yes,Lawyer,8.0,High,2,3
4195,459193,Male,No,38,Yes,Artist,1.0,Low,1,1
4700,466833,Male,Yes,58,Yes,Artist,7.0,Low,2,2
1171,460246,Male,Yes,46,Yes,Artist,4.0,Low,2,2
7402,460753,Female,No,33,No,Healthcare,1.0,Low,6,1
554,465879,Male,No,39,Yes,Artist,0.0,Low,1,1
900,464775,Female,Yes,35,Yes,Artist,8.0,Average,4,1
4043,460154,Male,No,29,Yes,Entertainment,8.0,Low,4,3
1997,466789,Female,Yes,53,Yes,Artist,0.0,Average,2,2
5391,461345,Male,No,27,No,Doctor,0.0,Low,3,4
6454,462269,Male,Yes,83,Yes,Artist,2.0,High,2,1
823,467446,Female,No,37,Yes,Artist,9.0,Low,1,1
6623,459087,Female,No,21,No,Doctor,0.0,Low,3,3
3237,467739,Female,Yes,63,No,Artist,1.0,Average,4,3
2621,466554,Male,No,26,No,Healthcare,0.0,Low,3,4
4560,462470,Male,Yes,80,Yes,Executive,3.0,Low,1,2
6999,467378,Female,Yes,56,Yes,Artist,1.0,Average,2,3
7489,466435,Male,Yes,32,No,Executive,1.0,High,5,4
3272,465296,Female,Yes,76,Yes,Lawyer,5.0,High,3,1
5624,466937,Male,Yes,62,No,Entertainment,1.0,Average,2,2
4600,461517,Male,Yes,42,Yes,Artist,0.0,Average,3,2
4136,464756,Female,No,25,No,Engineer,5.0,Low,3,2
4578,459852,Male,No,40,Yes,Artist,7.0,Low,1,1
2619,462070,Male,Yes,41,Yes,Entertainment,9.0,Average,2,2
3508,461896,Male,Yes,46,Yes,Artist,1.0,Low,1,2
2056,463369,Male,Yes,31,Yes,Entertainment,4.0,Low,2,2
13,459573,Male,Yes,70,No,Lawyer,0.0,Low,1,1
3997,462881,Female,Yes,66,Yes,Artist,0.0,High,3,2
3875,462956,Male,Yes,42,No,Artist,7.0,Average,5,2
6268,465438,Male,No,33,Yes,Doctor,9.0,Low,6,4
2778,459490,Male,Yes,37,No,Engineer,6.0,Average,2,1
7521,459507,Male,Yes,69,No,Lawyer,9.0,High,2,4
37,460593,Female,Yes,28,No,Healthcare,1.0,Average,5,4
5577,466426,Female,No,25,Yes,Engineer,0.0,Low,2,1
2404,465962,Male,Yes,33,Yes,Healthcare,0.0,Low,2,1
528,466182,Female,No,41,Yes,Artist,2.0,Low,1,3
5039,463914,Female,Yes,27,No,Artist,0.0,Low,2,1
6318,462230,Male,No,23,No,Healthcare,1.0,Low,8,4
8035,463437,Male,Yes,49,Yes,Artist,1.0,Average,3,2
2961,467872,Female,Yes,40,Yes,Engineer,1.0,Average,4,2
2659,463058,Female,No,28,Yes,Homemaker,11.0,Low,1,4
3231,461718,Female,Yes,48,No,Executive,9.0,Average,3,2
4873,464095,Female,Yes,31,Yes,Engineer,1.0,Low,2,1
2267,461855,Female,Yes,52,Yes,Artist,1.0,Average,2,3
243,466768,Female,Yes,36,Yes,Artist,0.0,Low,4,3
7387,463906,Female,Yes,40,Yes,Engineer,0.0,Average,4,2
7942,466875,Female,No,36,Yes,Marketing,0.0,Low,2,4
3366,465271,Male,Yes,47,No,Executive,0.0,High,5,2
7971,465597,Female,No,43,Yes,Entertainment,14.0,Low,1,1
1782,459531,Male,No,38,Yes,Marketing,3.0,Low,2,4
2978,460316,Female,No,39,No,Healthcare,4.0,Low,3,4
3255,459021,Male,Yes,45,Yes,Artist,7.0,Low,2,1
7353,462526,Female,Yes,46,Yes,Artist,3.0,Average,5,3
87,459905,Female,Yes,36,Yes,Artist,5.0,Low,2,3
